; UNITS:,  PgC year-1,  PgC year-1,  PgC year-1,  PgC year-1,  Tg year-1,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppb,  Tg CH4 year-1,  ppm,  Tg CO year-1, W/m2, W/m2,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppb,  Tg N year-1,  Tg year-1,  Tg NMVOC year-1,  Tg N year-1,  Tg year-1,  ppt,  ppt,  Gg S year-1, W/m2,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt
Date,ffi_emissions,luc_emissions,daccs_uptake,luc_uptake,BC_emissions,C2F6_constrain,C2F6_emissions,CCl4_constrain,CCl4_emissions,CF4_constrain,CF4_emissions,CFC113_constrain,CFC113_emissions,CFC114_constrain,CFC114_emissions,CFC115_constrain,CFC115_emissions,CFC11_constrain,CFC11_emissions,CFC12_constrain,CFC12_emissions,CH3Br_constrain,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_constrain,CH3Cl_emissions,CH4_constrain,CH4_emissions,CO2_constrain,CO_emissions,Ftalbedo,Ftot_constrain,HCFC141b_constrain,HCFC141b_emissions,HCFC142b_constrain,HCFC142b_emissions,HCFC22_constrain,HCFC22_emissions,HFC125_constrain,HFC125_emissions,HFC134a_constrain,HFC134a_emissions,HFC143a_constrain,HFC143a_emissions,HFC227ea_constrain,HFC227ea_emissions,HFC23_constrain,HFC23_emissions,HFC245_constrain,HFC245fa_emissions,HFC32_constrain,HFC32_emissions,HFC4310_constrain,HFC4310_emissions,N2O_constrain,N2O_emissions,NH3_emissions,NMVOC_emissions,NOX_emissions,OC_emissions,SF6_constrain,SF6_emissions,SO2_emissions,SV,halon1211_constrain,halon1211_emissions,halon1301_constrain,halon1301_emissions,halon2402_constrain,halon2402_emissions
1759,0.003001817768688934,0,0,-0,0,0,0,0,0,35,0.010762744,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,721.9397628013697,0,278.0584697739726,0,-0.00206166499751068,0.27074814400979347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.96107456620996,0,1.0125159807142856,0,0,0,0,0,0,0.1842164991664947,0,0,0,0,0,0
1760,0.003001817768688934,0,0,-0,0,0,0,0,0,35,0.010762744,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,721.9397628013697,0,278.0584697739726,0,-0.002290738886122979,0.3082165475258225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.96107456620996,0,1.0125159807142856,0,0,0,0,0,0,0.1946920959819668,0,0,0,0,0,0
1761,0.003001817768688934,0,0,-0,0,0,0,0,0,35,0.010762744,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,721.9397628013697,0,278.0584697739726,0,-0.0025198127747352757,0.30770160719739026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.96107456620996,0,1.0125159807142856,0,0,0,0,0,0,0.19821458874580505,0,0,0,0,0,0
1762,0.003001817768688934,0,0,-0,0,0,0,0,0,35,0.010762744,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,721.9397628013697,0,278.0584697739726,0,-0.0027488866633475747,-0.7167663326488564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.96107456620996,0,1.0125159807142856,0,0,0,0,0,0,-0.8062714455214892,0,0,0,0,0,0
1763,0.003001817768688934,0,0,-0,0,0,0,0,0,35,0.010762744,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,721.9397628013697,0,278.0584697739726,0,-0.0029779605519598715,-0.43697608343275407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.96107456620996,0,1.0125159807142856,0,0,0,0,0,0,-0.4952505953099832,0,0,0,0,0,0
1764,0.003001817768688934,0,0,-0,0,0,0,0,0,35,0.010762744,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,721.9397628013697,0,278.0584697739726,0,-0.0032070344405721704,-0.02616522198744618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.96107456620996,0,1.0125159807142856,0,0,0,0,0,0,-0.049791932294960387,0,0,0,0,0,0
1765,0.003001817768688934,0,0,-0,0,0,0,0,0,35,0.010762744,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,721.9397628013697,0,278.0584697739726,0,-0.0034361083291844672,0.11124068743141571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.96107456620996,0,1.0125159807142856,0,0,0,0,0,0,0.11535139067731436,0,0,0,0,0,0
1766,0.003001817768688934,0.005341530895955465,0,0,0.106998,0,0,0,0,35,0.010752073,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,722.3010368961186,1.9632619,278.11378957876707,9.0502213,-0.003665182217796764,-0.22308350902437094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.97266930136976,0.005192028033330303,1.0372799778571429,1.5968747,0.10953970172495486,0.56591996,0,0,99.036910099844,-0.2047254902131408,0,0,0,0,0,0
1767,0.003001817768688934,0.010683062192153297,0,0,0.1333826,0,0,0,0,35,0.010747949,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,722.9680867897921,2.4364481,278.2213605617062,12.960844,-0.003894256106409063,-0.2673063278022514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.9941257165393,0.010118651835461442,1.0614889614285714,2.2923164000000003,0.16809669919751338,0.78146771,0,0,116.4879453978159,-0.26200565729074443,0,0,0,0,0,0
1768,0.003001817768688934,0.01602459278792698,0,0,0.15984677,0,0,0,0,35,0.01074382,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,723.666190336839,2.911105,278.34384681846194,16.876539,-0.004123329995021362,0.07715938212205056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.0167705829402,0.015045537185122913,1.0851518442857142,2.9886478,0.2267040141630621,0.99736131,0,0,134.01950312012482,0.026420788222020236,0,0,0,0,0,0
